store_id,item_id,product_name,category,date,sales_volume,unit_price,sales_value,country,state,city,zipcode
STORE_128,ITEM_5012,Running Shoes,Footwear,8/5/2025,9,226.21,2035.89,USA,Florida,Miami,20001
STORE_104,ITEM_7912,Belts,Accessories,6/27/2025,2,46.23,92.46,USA,Colorado,Denver,4670
STORE_191,ITEM_4257,T-Shirts,Tops,5/10/2025,42,216.37,9087.54,USA,Washington,Seattle,32484
STORE_100,ITEM_5557,Coats,Outerwear,5/28/2025,49,245.63,12035.87,USA,Nevada,Las Vegas,59917
STORE_127,ITEM_3547,Raincoats,Outerwear,4/11/2025,49,114.25,5598.25,USA,Florida,Miami,83504
STORE_144,ITEM_6881,Sandals,Footwear,6/21/2025,39,94.07,3668.73,USA,New York,New York,38763
STORE_148,ITEM_3045,Sandals,Footwear,4/25/2025,6,174.57,1047.42,USA,Washington,Seattle,31883
STORE_190,ITEM_4150,Scarves,Accessories,6/10/2025,5,32.83,164.15,USA,Colorado,Denver,30455
STORE_112,ITEM_4814,Hoodies,Tops,9/15/2025,25,97.83,2445.75,USA,New York,New York,66875
STORE_126,ITEM_6820,Shorts,Bottoms,8/27/2025,43,94.75,4074.25,USA,Arizona,Phoenix,23196
STORE_120,ITEM_5010,Boots,Footwear,9/16/2025,30,126.25,3787.5,USA,Washington,Seattle,45667
STORE_129,ITEM_1916,Hats,Accessories,6/11/2025,3,245.41,736.23,USA,Arizona,Phoenix,97907
STORE_172,ITEM_4456,Raincoats,Outerwear,7/28/2025,46,108.11,4973.06,USA,New York,New York,21655
STORE_133,ITEM_3340,Vests,Outerwear,5/19/2025,9,89.06,801.54,USA,Nevada,Las Vegas,22460
STORE_174,ITEM_8019,Scarves,Accessories,7/26/2025,26,121.36,3155.36,USA,Colorado,Denver,27967
STORE_114,ITEM_1771,Shirts,Tops,7/23/2025,10,195.68,1956.8,USA,New York,New York,7634
STORE_176,ITEM_7252,Jackets,Outerwear,5/9/2025,30,168.15,5044.5,USA,Georgia,Atlanta,60751
STORE_196,ITEM_9797,Belts,Accessories,9/16/2025,18,235.21,4233.78,USA,New York,New York,79164
STORE_120,ITEM_8123,Jeans,Bottoms,8/15/2025,30,20.91,627.3,USA,Florida,Miami,55483
STORE_180,ITEM_2743,Shorts,Bottoms,6/21/2025,20,255.67,5113.4,USA,Washington,Seattle,59917
STORE_197,ITEM_7126,Hats,Accessories,5/30/2025,11,171.03,1881.33,USA,Texas,Houston,47331
STORE_162,ITEM_6310,Belts,Accessories,4/9/2025,2,51.32,102.64,USA,Colorado,Denver,36498
STORE_130,ITEM_1949,Skirts,Bottoms,5/21/2025,37,285.15,10550.55,USA,Illinois,Chicago,87985
STORE_198,ITEM_9727,Sandals,Footwear,7/15/2025,9,55.95,503.55,USA,New York,New York,89176
STORE_177,ITEM_9645,Coats,Outerwear,8/13/2025,28,290.02,8120.56,USA,Florida,Miami,58208
STORE_185,ITEM_7537,Hats,Accessories,7/13/2025,42,124.56,5231.52,USA,Florida,Miami,54799
STORE_128,ITEM_5061,Socks,Accessories,5/25/2025,5,114.66,573.3,USA,New York,New York,19781
STORE_100,ITEM_4608,Hats,Accessories,9/23/2025,5,218.2,1091,USA,Colorado,Denver,99525
STORE_142,ITEM_1514,Boots,Footwear,4/19/2025,5,163.96,819.8,USA,New York,New York,24615
STORE_116,ITEM_9834,Trousers,Bottoms,4/4/2025,47,281.94,13251.18,USA,Illinois,Chicago,51194
STORE_152,ITEM_8749,Socks,Accessories,5/11/2025,13,46.41,603.33,USA,Illinois,Chicago,99572
STORE_159,ITEM_7735,Raincoats,Outerwear,5/21/2025,47,35.17,1652.99,USA,Georgia,Atlanta,57071
STORE_113,ITEM_6559,Running Shoes,Footwear,8/29/2025,16,73.65,1178.4,USA,Georgia,Atlanta,5248
STORE_123,ITEM_7912,Socks,Accessories,9/14/2025,18,149.54,2691.72,USA,Texas,Houston,29067
STORE_106,ITEM_2604,Sandals,Footwear,7/7/2025,42,299.8,12591.6,USA,Washington,Seattle,93998
STORE_152,ITEM_3724,Running Shoes,Footwear,7/4/2025,32,154.78,4952.96,USA,Illinois,Chicago,66912
STORE_100,ITEM_7209,Jackets,Outerwear,8/22/2025,25,94.26,2356.5,USA,Texas,Houston,80530
STORE_119,ITEM_8973,Raincoats,Outerwear,8/10/2025,13,103.08,1340.04,USA,Georgia,Atlanta,20005
STORE_106,ITEM_1936,Running Shoes,Footwear,9/26/2025,38,153.5,5833,USA,Arizona,Phoenix,45232
STORE_110,ITEM_9320,Hats,Accessories,9/21/2025,12,39.19,470.28,USA,California,Los Angeles,35079
STORE_172,ITEM_2964,Boots,Footwear,4/2/2025,16,182.1,2913.6,USA,Georgia,Atlanta,30247
STORE_140,ITEM_9565,Running Shoes,Footwear,4/29/2025,17,77.19,1312.23,USA,Georgia,Atlanta,48716
