campaign_id,item_id,platform,post_id,user_id,timestamp,post_text,hashtags,country,region,city,sentiment_score,sentiment_label,topic_classification,ad_mention,emoji_score
CMP001,ITEM_1001,Facebook,9477d8af-04f9-4213-b3ef-65280bea91ea,user_250,9/27/2025 1:47,One probably however adult argue player financial.,['#RunFast2025'],USA,Florida,Miami,-0.53,Negative,Ad Feedback,FALSE,0
CMP001,ITEM_1005,Twitter,3e39534e-c755-4264-9df5-03ed94d20ce9,user_238,7/31/2025 3:17,Fear hold yes difficult rise local structure bring option draw stock.,['#FootwearGoals'],USA,California,San Diego,0.44,Positive,Brand Perception,TRUE,3
CMP005,ITEM_1017,Instagram,7df19ee6-8a99-405c-b728-a256469d91bf,user_777,6/30/2025 10:35,Any food grow do strong win next fine agree social brother.,['#RunFast2025'],USA,Florida,Orlando,0.49,Positive,Product Review,FALSE,0
CMP001,ITEM_1024,Instagram,820280ca-c9b9-4257-ab2c-e849bdb7f712,user_367,8/22/2025 23:33,Would front couple marriage operation success garden.,['#SummerKicks'],USA,California,San Diego,0.33,Positive,Brand Perception,TRUE,3
CMP001,ITEM_1035,Facebook,1ac0bf87-6d69-40fb-b63b-8671aedfa939,user_849,6/3/2025 2:32,Attorney risk home government authority eye set find nature report else speak.,['#FootwearGoals'],USA,Washington,Seattle,0.04,Neutral,Ad Feedback,TRUE,2
CMP001,ITEM_1014,Instagram,ceabf0ce-dfde-4e0f-8b2e-929e81b0aab8,user_389,9/13/2025 0:56,Step behind provide building raise provide agent I.,['#SummerKicks'],USA,Georgia,Atlanta,-0.03,Neutral,Delivery,FALSE,1
CMP003,ITEM_1044,Instagram,ba5ccaa7-e4e8-4d51-9c8c-9b27c54d2cd2,user_623,8/19/2025 0:03,Stay learn food compare final prevent protect and question environmental learn trouble much hold.,['#RunFast2025'],USA,Colorado,Denver,-0.89,Negative,Brand Perception,FALSE,5
CMP005,ITEM_1014,Facebook,a097e9fe-cff2-4349-b0b5-4cfae074a404,user_863,4/15/2025 0:08,Smile seat appear hospital turn current create girl.,['#SneakerDrop'],USA,Illinois,Chicago,-0.44,Negative,Brand Perception,FALSE,0
CMP002,ITEM_1036,Facebook,67c8105b-56ae-4c90-95f4-51123837f374,user_217,6/15/2025 1:01,Marriage me remember table grow seem.,['#FitInStyle'],USA,Massachusetts,Boston,-0.55,Negative,Product Review,FALSE,1
CMP002,ITEM_1047,YouTube,8a049e51-b76c-43c3-a472-fddc4611908d,user_551,8/23/2025 6:43,Point station school task compare example decide.,['#SummerKicks'],USA,Florida,Orlando,0.08,Neutral,Brand Perception,FALSE,1
CMP002,ITEM_1032,TikTok,b84cc921-180a-4905-93ad-85626599824c,user_93,5/2/2025 13:03,Shake street season well well war glass mind national here.,['#SneakerDrop'],USA,Texas,Dallas,0.41,Positive,Brand Perception,TRUE,3
CMP004,ITEM_1038,TikTok,20480641-4169-4f37-bf7e-1fdf79485e77,user_541,7/24/2025 2:14,Six myself eye full listen usually fact.,['#SummerKicks'],USA,Colorado,Denver,-0.99,Negative,Ad Feedback,FALSE,5
CMP003,ITEM_1007,Facebook,d4fd00ab-2fca-4229-a13c-bf766a0d3f57,user_445,6/28/2025 12:58,Reach behavior agency argue last rest half spend kind tell.,['#RunFast2025'],USA,Georgia,Atlanta,0.81,Positive,Delivery,TRUE,4
CMP001,ITEM_1040,Facebook,3907a824-5dd5-4ef0-b84d-47d4372e2ed4,user_861,5/3/2025 10:44,Whether indicate class check son light respond.,['#FootwearGoals'],USA,California,San Diego,0.56,Positive,Product Review,TRUE,4
